ip,360风险值,国家,省/州,城市,区/县,乡镇,纬度,经度,AS号,是否IDC,是否代理,代理类型,最近代理时间,用户类型,最近7天平均终端数,最近解析域名,最近解析域名时间,服务提供商,是否有恶意行为,最近恶意行为时间,是否botnet,botnet家族,最近botnet时间,是否brute_force,最近brute_force时间,是否ddos,最近ddos时间,ddos主/被动,ddos置信度,是否scanner,最近scanner时间,scanner置信度,是否spam,最近spam时间,是否有恶意行为
49.73.177.235,2,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,xcjs.dahuaddns.com,2016-07-11,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-04,true,PirateGames,2018-03-04,false,,true,2016-03-11,active,40%,false,,,true,2017-11-07,1
27.209.84.65,1,中国,山东,滨州,滨城区,单寺乡,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,mail.threebay.hsk.la,2016-01-11,CHINA UNICOM China169 Backbone,true,2018-03-03,false,,,false,,true,2018-03-03,passive,80%,false,,,false,,1
1.189.13.0,1,中国,黑龙江,哈尔滨,,,45.756967,126.642464,AS4837,false,false,,,,,,,CHINA UNICOM China169 Backbone,true,2018-04-03,false,,,false,,true,2018-04-03,active,40%,false,,,false,,1
60.168.178.249,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,bk60617.gjpyun.com,2017-03-16,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-12-03,false,,,false,,true,2016-09-01,active,40%,false,,,true,2017-12-03,1
58.55.128.0,,中国,湖北,鄂州,,,30.396536,114.890593,AS4134,,,,,,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",,,,,,,,,,,,,,,,,0
49.67.188.255,2,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,xuhaibing.dahuaddns.com,2018-03-20,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-15,false,,,false,,true,2018-01-22,active,40%,false,,,true,2018-04-15,1
36.7.103.188,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-30,false,,,false,,true,2016-05-12,active,40%,false,,,true,2018-03-30,1
41.87.8.0,,马拉维,马拉维,,,,-13.24707,34.294708,AS36969,,,,,,,,,Malawi Telecommunications Limited,,,,,,,,,,,,,,,,,0
36.33.25.132,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2018-02-16,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-07,false,,,false,,true,2016-09-25,active,40%,false,,,true,2018-04-07,1
49.73.180.148,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,9002a9bf256d.dahuaddns.com,2017-03-17,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-11-09,true,Virut,2017-11-09,false,,true,2016-11-28,active,40%,false,,,false,,1
1.193.99.214,1,中国,河南,郑州,,,34.757975,113.665412,AS4134,true,false,,,境内IDC,1~20,5a144c61.hanbang.org.cn,2017-12-30,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-17,true,njRAT,2017-08-07,false,,true,2018-01-17,active,40%,false,,,false,,1
27.209.84.97,0,中国,山东,滨州,滨城区,尚集乡,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2017-04-05,true,Trojan,2017-04-05,false,,true,2016-03-01,active,40%,false,,,false,,1
49.67.189.18,2,中国,江苏,南通,如皋市,长江镇,32.016212,120.864608,AS4134,false,false,,,境内家庭,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-11,false,,,false,,true,2018-04-11,active,40%,false,,,true,2018-04-07,1
60.168.178.250,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,hfbgjc1.f3322.org,2017-05-19,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-17,false,,,false,,false,,,,false,,,true,2018-01-17,1
36.7.103.191,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,true,false,,,境内IDC,1~20,sywz2016.gnway.cc,2017-11-13,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-12-30,false,,,false,,true,2016-11-06,passive,40%,false,,,true,2017-12-30,1
42.51.200.0,1,中国,河南,洛阳,,,34.663041,112.434468,AS56005,true,false,,,境内IDC,,,,"Henan Telcom Union Technology Co., LTD",true,2017-10-20,false,,,false,,true,2017-10-20,active,40%,false,,,false,,1
58.55.192.0,,中国,湖北,鄂州,,,30.396536,114.890593,AS4134,,,,,,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",,,,,,,,,,,,,,,,,0
36.33.25.134,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2017-08-29,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2018-04-17,false,,,false,,true,2016-09-20,active,40%,true,2017-03-23,80%,true,2018-04-17,1
49.73.255.84,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,arma3sync2.dynamic-dns.net,2016-06-06,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-12-13,true,PirateGames,2017-12-13,false,,true,2016-03-01,active,40%,false,,,false,,1
1.193.220.0,0,中国,河南,开封,,,34.797049,114.341447,AS4134,false,false,,,,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-03-16,false,,,false,,false,,,,true,2017-03-16,80%,false,,1
27.209.84.105,1,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,true,http,2017-04-13,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2017-06-15,true,"Gh0st,Trojan,Darkshell,DSL4,Artemis",2017-06-15,false,,true,2016-09-23,active,40%,false,,,false,,1
49.67.189.120,1,中国,江苏,南通,,,32.016212,120.864608,AS4134,true,false,,,境内IDC,,rgrggzd.meibu.com,2017-12-31,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-07,false,,,false,,true,2016-03-08,passive,40%,false,,,true,2018-04-07,1
42.51.208.0,0,中国,河南,洛阳,,,34.663041,112.434468,AS56005,true,false,,,境内IDC,,,,"Henan Telcom Union Technology Co., LTD",false,,false,,,false,,false,,,,false,,,false,,0
60.168.179.0,0,中国,安徽,合肥,肥东县,龙岗镇,31.86119,117.283042,AS4134,false,false,,,境内家庭,,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-10-13,false,,,false,,true,2017-03-18,active,40%,false,,,true,2017-10-13,1
58.208.73.177,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,true,false,,,境内IDC,1~20,o1824p6151.imwork.net,2017-12-24,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-02-04,true,DSL4,2017-10-11,false,,true,2018-02-04,active,40%,false,,,true,2015-08-07,1
36.7.103.192,2,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-03-17,true,PirateGames,2017-10-23,false,,true,2017-05-26,active,40%,true,2016-10-16,80%,true,2018-03-17,1
36.33.25.135,3,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2018-02-17,境内家庭,,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Zbot,2017-12-09,false,,true,2016-09-22,active,40%,false,,,true,2018-04-17,1
49.73.255.243,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,gt1507436.seccn.net,2016-11-21,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-12-23,true,MinerdPool,2017-12-23,false,,true,2016-10-12,active,40%,false,,,false,,1
1.193.237.12,1,中国,河南,开封,,,34.797049,114.341447,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-02-13,false,,,false,,true,2017-03-16,active,40%,true,2017-03-16,80%,true,2018-02-13,1
27.209.84.132,2,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,edcva9028.netshare.org.cn,2015-11-29,CHINA UNICOM China169 Backbone,true,2018-01-07,true,NetReaper,2017-12-03,false,,true,2018-01-07,passive,40%,false,,,false,,1
